trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,destination_logsum,depart,trip_mode,mode_choice_logsum
98876897,301453,117824,12359612,work,1,True,1,work,810,825,,6.0,SHARED3FREE,-0.10734674568097043
98876901,301453,117824,12359612,work,1,False,1,Home,825,810,,12.0,DRIVEALONEFREE,-0.09172463308304984
98876905,301453,117824,12359613,work,1,True,1,work,810,825,,13.0,DRIVEALONEFREE,-0.6045377519954871
98876909,301453,117824,12359613,work,1,False,2,shopping,813,810,10.650171237449735,16.0,DRIVEALONEFREE,-0.4523278643967691
98876910,301453,117824,12359613,work,2,False,2,Home,825,813,,17.0,DRIVEALONEFREE,-0.3950235988178348
98877161,301454,117824,12359645,school,1,True,1,school,825,825,,8.0,DRIVEALONEFREE,0.050149336731230426
98877165,301454,117824,12359645,school,1,False,1,Home,825,825,,15.0,DRIVEALONEFREE,0.050392186523449845
98877489,301455,117824,12359686,school,1,True,1,school,877,825,,15.0,SHARED3FREE,-3.3612574668899904
98877493,301455,117824,12359686,school,1,False,3,social,872,877,2.587703486163113,17.0,SHARED3FREE,-2.0811928734964065
98877494,301455,117824,12359686,school,2,False,3,escort,829,872,4.201193395006681,17.0,SHARED2FREE,-2.798952021788597
98877495,301455,117824,12359686,school,3,False,3,Home,825,829,,20.0,SHARED2FREE,-2.072213450558498
98877817,301456,117824,12359727,school,1,True,1,school,817,825,,7.0,SHARED2FREE,-1.9305319982904274
98877821,301456,117824,12359727,school,1,False,1,Home,825,817,,16.0,SHARED3FREE,-1.9302676774009146
98878209,301457,117824,12359776,work,1,True,1,work,418,825,,7.0,DRIVEALONEPAY,-3.035659342569058
98878213,301457,117824,12359776,work,1,False,1,Home,825,418,,18.0,DRIVEALONEFREE,-3.2354100901128438
110753537,337663,129182,13844192,escort,1,True,1,escort,810,811,,7.0,SHARED2FREE,-0.001221485731296636
110753541,337663,129182,13844192,escort,1,False,2,eatout,811,810,11.711487135854943,8.0,SHARED2FREE,-0.027952458314144862
110753542,337663,129182,13844192,escort,2,False,2,Home,811,811,,8.0,DRIVEALONEFREE,0.5132817942793627
110753545,337663,129182,13844193,escort,1,True,1,escort,811,811,,12.0,WALK,-0.5452768769178016
110753549,337663,129182,13844193,escort,1,False,1,Home,811,811,,12.0,WALK,-0.5452768769178016
110753553,337663,129182,13844194,escort,1,True,1,escort,858,811,,15.0,DRIVEALONEFREE,-0.8593034006757896
110753557,337663,129182,13844194,escort,1,False,1,Home,811,858,,15.0,SHARED2FREE,-0.7873009459050275
110753689,337663,129182,13844211,othmaint,1,True,1,othmaint,811,811,,13.0,WALK,-0.34195902073009476
110753693,337663,129182,13844211,othmaint,1,False,2,othmaint,811,811,8.587331333438382,13.0,WALK,-0.34195902073009476
110753694,337663,129182,13844211,othmaint,2,False,2,Home,811,811,,14.0,WALK,-0.34195902073009476
110754433,337665,129182,13844304,work,1,True,1,work,808,811,,12.0,DRIVEALONEFREE,-0.6184124757096603
110754437,337665,129182,13844304,work,1,False,1,Home,811,808,,21.0,DRIVEALONEFREE,-1.232165798999864
120872249,368512,137950,15109031,work,1,True,1,work,1073,1020,,8.0,DRIVEALONEFREE,-1.5348505557464818
120872253,368512,137950,15109031,work,1,False,2,work,987,1073,9.79151010195881,12.0,DRIVEALONEFREE,-2.009688695613813
120872254,368512,137950,15109031,work,2,False,2,Home,1020,987,,13.0,DRIVEALONEFREE,-1.9266604112898469
120872257,368512,137950,15109032,work,1,True,1,work,1073,1020,,14.0,DRIVEALONEFREE,-1.542330669114799
120872261,368512,137950,15109032,work,1,False,2,shopping,1050,1073,7.9533393445527105,14.0,DRIVEALONEFREE,-0.8917526934252265
120872262,368512,137950,15109032,work,2,False,2,Home,1020,1050,,15.0,DRIVEALONEFREE,-1.172375034823372
123466745,376423,142408,15433343,atwork,1,True,1,atwork,1452,1441,,11.0,DRIVEALONEFREE,-0.731393103285604
123466749,376423,142408,15433343,atwork,1,False,1,Work,1441,1452,,13.0,DRIVEALONEFREE,-0.8111161457004064
123466945,376423,142408,15433368,othdiscr,1,True,1,othdiscr,1018,1018,,20.0,WALK,0.823507583708085
