alternative,probability_1,probability_2
23,0.006959966900081585,0.006959966900081585
24,0.0006360076676988529,0.0006360076676988529
25,0.0019264334356569428,0.0019264334356569428
26,0.0006062181655911218,0.0006062181655911218
27,0.00040941186033160033,0.00040941186033160033
28,0.00045120318677728527,0.00045120318677728527
29,0.0005661665692151625,0.0005661665692151625
30,0.0007602306570962922,0.0007602306570962922
31,0.0014452873219663936,0.0014452873219663936
32,0.0003198380412786376,0.0003198380412786376
33,0.0003430190427719083,0.0003430190427719083
34,0.00011719599857337761,0.00011719599857337761
35,0.0017342893167512767,0.0017342893167512767
36,0.0009860717614157794,0.0009860717614157794
