TAZ,size_term,TAZ,tour_type,TAZ_chooser,person_id
763,912.2130000000001,763,escort,961,511625
764,1088.4850000000001,764,escort,961,511625
765,679.58,765,escort,961,511625
766,375.84000000000003,766,escort,961,511625
767,1825.4450000000002,767,escort,961,511625
768,1089.596,768,escort,961,511625
769,1420.6460000000002,769,escort,961,511625
770,967.02,770,escort,961,511625
771,853.807,771,escort,961,511625
772,466.57800000000003,772,escort,961,511625
773,777.801,773,escort,961,511625
774,791.364,774,escort,961,511625
775,1103.723,775,escort,961,511625
776,1338.825,776,escort,961,511625
777,1119.894,777,escort,961,511625
778,1783.7170000000003,778,escort,961,511625
779,780.037,779,escort,961,511625
780,377.44800000000004,780,escort,961,511625
781,472.273,781,escort,961,511625
782,820.928,782,escort,961,511625
