process,time,rss,used,available,percent,event
mp_households_0, 15/08/2022 22:21:30, 0.65, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.del.probs
mp_households_0, 15/08/2022 22:21:30, 0.65, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:21:30, 0.76, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.del.utilities
mp_households_0, 15/08/2022 22:21:30, 0.65, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:21:30, 0.76, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:21:30, 0.75, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.del.probs
mp_households_1, 15/08/2022 22:21:30, 0.75, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:21:30, 0.75, 0.98, 115.17, 6.9%, school_location.i1.sample.highschool.interaction_sample.add.choices_df
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.raw_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.nested_exp_utilities
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.nested_exp_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.interaction_df
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.interaction_utilities
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.raw_utilities
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.add.logsums
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.interaction_df
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.sample_counts
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.logsums.highschool.compute_logsums.simple_simulate_logsums.eval_nl_logsums.del.nested_exp_utilities
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.interaction_df
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.sample_counts
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.interaction_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.interaction_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.padded_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.utilities_df
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.interaction_df
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.sample_counts
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.padded_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.probs
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.sample_counts
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.utilities_df
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.interaction_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.positions
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.padded_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.rands
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.utilities_df
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.probs
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.padded_utilities
mp_households_0, 15/08/2022 22:21:31, 0.70, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.choices
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.probs
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.utilities_df
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.positions
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.98, 115.17, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.rands
mp_households_1, 15/08/2022 22:21:31, 0.81, 0.99, 115.16, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.del.probs
mp_households_1, 15/08/2022 22:21:31, 0.81, 1.00, 115.15, 6.9%, school_location.i1.simulate.highschool.interaction_sample_simulate.add.choices
mp_households_0, 15/08/2022 22:21:31, 0.72, 1.00, 115.15, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.interaction_df
mp_households_1, 15/08/2022 22:21:31, 0.83, 1.03, 115.12, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.interaction_df
mp_households_0, 15/08/2022 22:21:31, 1.04, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.interaction_utilities
mp_households_0, 15/08/2022 22:21:32, 1.04, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.del.interaction_df
mp_households_1, 15/08/2022 22:21:32, 1.17, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.interaction_utilities
mp_households_1, 15/08/2022 22:21:32, 1.17, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.del.interaction_df
mp_households_1, 15/08/2022 22:21:32, 1.17, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.utilities
mp_households_1, 15/08/2022 22:21:32, 1.17, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.del.interaction_utilities
mp_households_1, 15/08/2022 22:21:32, 1.18, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.probs
mp_households_1, 15/08/2022 22:21:32, 1.18, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.del.utilities
mp_households_1, 15/08/2022 22:21:32, 1.18, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.add.choices_df
mp_households_1, 15/08/2022 22:21:32, 1.18, 1.04, 115.11, 6.9%, school_location.i1.sample.gradeschool.interaction_sample.del.probs
