tour_id,person_id,tour_type,tour_type_count,tour_type_num,tour_num,tour_count,tour_category,number_of_participants,destination,origin,household_id,tdd,start,end,duration,composition,destination_logsum,tour_mode,mode_choice_logsum,atwork_subtour_frequency,parent_tour_id,stop_frequency,primary_purpose
44378732,1082408,eat,1,1,1,1,atwork,1,521.0,520.0,423641,85.0,10.0,10.0,0.0,,18.34545090880339,DRIVEALONEFREE,-0.19291015024373762,,44378767.0,0out_0in,atwork
47830809,1166605,eat,1,1,1,1,atwork,1,839.0,839.0,451951,88.0,10.0,13.0,3.0,,18.517258359224712,TNC_SINGLE,0.5896005690798236,,47830844.0,0out_1in,atwork
50818274,1239470,eat,1,1,1,1,atwork,1,767.0,767.0,473857,101.0,11.0,13.0,2.0,,18.723077750211168,WALK,0.3369998978622678,,50818309.0,1out_3in,atwork
51247626,1249942,eat,1,1,1,1,atwork,1,734.0,734.0,479575,145.0,15.0,15.0,0.0,,17.07303722474361,WALK,-0.2879120240482437,,51247661.0,0out_0in,atwork
52769546,1287062,eat,1,1,1,1,atwork,1,724.0,728.0,492838,99.0,11.0,11.0,0.0,,17.33680202721581,DRIVEALONEFREE,-0.240260393377994,,52769581.0,0out_0in,atwork
55060257,1342933,eat,1,1,1,1,atwork,1,730.0,730.0,513390,59.0,8.0,13.0,5.0,,18.470365025218918,SHARED2FREE,-0.22978841579473086,,55060292.0,0out_3in,atwork
55060298,1342934,eat,1,1,1,1,atwork,1,1175.0,1175.0,513390,101.0,11.0,13.0,2.0,,17.805642978917103,WALK,0.5705086578347799,,55060333.0,0out_0in,atwork
56313791,1373507,eat,1,1,1,1,atwork,1,743.0,739.0,523743,99.0,11.0,11.0,0.0,,10.844366253021121,SHARED2FREE,-0.5130005543125615,,56313826.0,0out_0in,atwork
59167715,1443115,business,1,1,1,1,atwork,1,1121.0,1121.0,550207,113.0,12.0,13.0,1.0,,18.96681970639519,WALK,-0.07284291966715667,,59167754.0,0out_0in,atwork
64766023,1579659,eat,1,1,1,1,atwork,1,1133.0,1145.0,603635,124.0,13.0,13.0,0.0,,19.168465895550682,SHARED3FREE,-1.130603116859708,,64766058.0,0out_0in,atwork
66243253,1615689,eat,1,1,1,1,atwork,1,1175.0,1173.0,620286,113.0,12.0,13.0,1.0,,17.686343360969435,DRIVEALONEFREE,0.3473378167123322,,66243288.0,0out_0in,atwork
67190804,1638800,eat,1,1,1,1,atwork,1,732.0,732.0,629198,85.0,10.0,10.0,0.0,,18.78266315113419,DRIVEALONEFREE,0.6169708906922465,,67190839.0,0out_0in,atwork
67779564,1653160,eat,1,1,1,1,atwork,1,1261.0,1269.0,634444,99.0,11.0,11.0,0.0,,16.949177842473077,SHARED2FREE,-1.6447042008229775,,67779599.0,0out_0in,atwork
67779605,1653161,eat,1,1,1,1,atwork,1,730.0,730.0,634444,124.0,13.0,13.0,0.0,,18.689017774610022,TAXI,0.4471663708663509,,67779640.0,0out_0in,atwork
68374884,1667680,eat,1,1,1,1,atwork,1,1122.0,1152.0,640671,101.0,11.0,13.0,2.0,,10.549641835046556,SHARED2FREE,-3.6194340700706067,,68374919.0,0out_0in,atwork
68375130,1667686,eat,1,1,1,1,atwork,1,1005.0,1005.0,640671,54.0,8.0,8.0,0.0,,11.595865822652106,WALK,-0.2089655014627264,,68375165.0,0out_0in,atwork
69683317,1699593,eat,1,1,1,1,atwork,1,32.0,106.0,652730,135.0,14.0,14.0,0.0,,20.625985886474595,SHARED2FREE,-2.1961089385742905,,69683352.0,0out_0in,atwork
69893688,1704724,eat,1,1,1,1,atwork,1,1005.0,875.0,654577,39.0,7.0,9.0,2.0,,11.12997536602264,SHARED2FREE,-3.1337211164241157,,69893723.0,1out_0in,atwork
70102337,1709813,eat,1,1,1,1,atwork,1,1063.0,1063.0,657148,114.0,12.0,14.0,2.0,,17.982202913221723,WALK,0.6925524596123116,,70102372.0,1out_0in,atwork
70555633,1720869,eat,1,1,1,1,atwork,1,916.0,1005.0,661890,101.0,11.0,13.0,2.0,,18.556799737261116,DRIVEALONEFREE,-0.41171038057557524,,70555668.0,0out_0in,atwork
71375383,1740863,business,1,1,1,1,atwork,1,1121.0,1129.0,669468,114.0,12.0,14.0,2.0,,18.26153519495261,DRIVEALONEFREE,-0.15138387487250768,,71375422.0,0out_0in,atwork
72127368,1759204,eat,1,1,1,1,atwork,1,756.0,756.0,676619,124.0,13.0,13.0,0.0,,17.72101973855151,WALK,-0.16326292742688578,,72127403.0,0out_0in,atwork
72521050,1768806,eat,1,1,1,1,atwork,1,1170.0,1170.0,679999,113.0,12.0,13.0,1.0,,17.647523893994045,WALK,0.21303974369761322,,72521085.0,1out_0in,atwork
73309275,1788031,eat,1,1,1,1,atwork,1,730.0,729.0,686770,76.0,9.0,15.0,6.0,,17.551464215862,SHARED3FREE,-0.25750838882424393,,73309310.0,0out_1in,atwork
73496254,1792591,maint,1,1,1,1,atwork,1,810.0,810.0,688810,135.0,14.0,14.0,0.0,,18.279645145471168,DRIVEALONEFREE,0.25219196831381185,,73496270.0,0out_0in,atwork
75643774,1844970,eat,1,1,1,1,atwork,1,1127.0,1127.0,711977,145.0,15.0,15.0,0.0,,18.508798062768456,WALK,-0.10013337817292144,,75643809.0,0out_0in,atwork
76209574,1858770,eat,1,1,1,1,atwork,1,188.0,189.0,717252,114.0,12.0,14.0,2.0,,18.967559749293994,WALK,0.27952283830136865,,76209609.0,1out_0in,atwork
83943199,2047395,eat,1,1,1,1,atwork,1,341.0,343.0,782709,126.0,13.0,15.0,2.0,,18.528825358820225,WALK,-0.0664556962035,,83943234.0,0out_0in,atwork
85093040,2075440,business,1,1,1,1,atwork,1,971.0,947.0,792539,101.0,11.0,13.0,2.0,,19.14522479555329,WALK,-1.171657919877523,,85093079.0,0out_1in,atwork
86606559,2112355,eat,1,1,1,1,atwork,1,1122.0,1122.0,805084,113.0,12.0,13.0,1.0,,19.324527788322442,DRIVEALONEFREE,0.46818800863451104,,86606594.0,0out_1in,atwork
88592722,2160798,eat,1,1,1,1,atwork,1,1186.0,1186.0,820836,125.0,13.0,14.0,1.0,,17.211059538214094,SHARED3FREE,-0.5370794396012687,,88592757.0,0out_0in,atwork
88593214,2160810,eat,1,1,1,1,atwork,1,1123.0,1112.0,820836,113.0,12.0,13.0,1.0,,18.397720347664805,DRIVEALONEFREE,-0.26897585809032737,,88593249.0,0out_0in,atwork
88951591,2169551,business,1,1,1,1,atwork,1,1103.0,1103.0,823569,101.0,11.0,13.0,2.0,,17.674507809711315,DRIVEALONEFREE,0.2575576390956438,,88951630.0,0out_0in,atwork
92080551,2245867,eat,1,1,1,1,atwork,1,721.0,721.0,848404,113.0,12.0,13.0,1.0,,17.855270329694367,DRIVEALONEFREE,0.42892642234883577,,92080586.0,0out_0in,atwork
