TAZ,size_term,TAZ,tour_type,TAZ_chooser,person_id
252,252.19,252,eatout,961,511624
253,16.128,253,eatout,961,511624
254,615.818,254,eatout,961,511624
255,167.57999999999998,255,eatout,961,511624
256,70.018,256,eatout,961,511624
257,1197.3020000000001,257,eatout,961,511624
258,172.964,258,eatout,961,511624
259,192.92200000000003,259,eatout,961,511624
260,389.302,260,eatout,961,511624
261,39.998000000000005,261,eatout,961,511624
262,144.496,262,eatout,961,511624
263,16.804,263,eatout,961,511624
264,109.93799999999999,264,eatout,961,511624
265,598.474,265,eatout,961,511624
266,1887.0660000000003,266,eatout,961,511624
267,48.634,267,eatout,961,511624
268,42.188,268,eatout,961,511624
269,33.574000000000005,269,eatout,961,511624
270,87.482,270,eatout,961,511624
271,21.612000000000002,271,eatout,961,511624
272,18.544,272,eatout,961,511624
273,20.032,273,eatout,961,511624
274,221.23000000000002,274,eatout,961,511624
275,145.482,275,eatout,961,511624
276,28.356,276,eatout,961,511624
277,57.706,277,eatout,961,511624
278,485.48199999999997,278,eatout,961,511624
279,414.358,279,eatout,961,511624
280,332.514,280,eatout,961,511624
281,333.19,281,eatout,961,511624
282,180.4,282,eatout,961,511624
283,39.478,283,eatout,961,511624
284,1888.26,284,eatout,961,511624
285,26.866,285,eatout,961,511624
286,493.91600000000005,286,eatout,961,511624
287,159.838,287,eatout,961,511624
288,242.29999999999998,288,eatout,961,511624
289,115.024,289,eatout,961,511624
290,59.134,290,eatout,961,511624
291,240.23399999999998,291,eatout,961,511624
292,68.376,292,eatout,961,511624
293,85.6,293,eatout,961,511624
294,131.60000000000002,294,eatout,961,511624
295,376.264,295,eatout,961,511624
296,599.8000000000001,296,eatout,961,511624
297,227.508,297,eatout,961,511624
298,1394.862,298,eatout,961,511624
299,166.674,299,eatout,961,511624
300,95.078,300,eatout,961,511624
301,150.078,301,eatout,961,511624
302,437.9,302,eatout,961,511624
303,267.952,303,eatout,961,511624
304,79.70400000000001,304,eatout,961,511624
305,10.32,305,eatout,961,511624
306,36.608000000000004,306,eatout,961,511624
307,41.830000000000005,307,eatout,961,511624
308,51.602000000000004,308,eatout,961,511624
309,635.896,309,eatout,961,511624
310,1334.1680000000001,310,eatout,961,511624
311,670.0060000000001,311,eatout,961,511624
312,85.026,312,eatout,961,511624
313,981.084,313,eatout,961,511624
314,400.25199999999995,314,eatout,961,511624
315,2711.5299999999997,315,eatout,961,511624
316,319.654,316,eatout,961,511624
317,206.058,317,eatout,961,511624
318,64.926,318,eatout,961,511624
319,27.252,319,eatout,961,511624
320,136.142,320,eatout,961,511624
321,49.412000000000006,321,eatout,961,511624
322,86.928,322,eatout,961,511624
323,458.738,323,eatout,961,511624
324,303.04999999999995,324,eatout,961,511624
325,161.912,325,eatout,961,511624
326,269.144,326,eatout,961,511624
327,215.64,327,eatout,961,511624
328,60.484,328,eatout,961,511624
329,478.55600000000004,329,eatout,961,511624
330,25.354,330,eatout,961,511624
331,457.09799999999996,331,eatout,961,511624
332,328.09,332,eatout,961,511624
333,431.692,333,eatout,961,511624
334,55.928000000000004,334,eatout,961,511624
335,350.88,335,eatout,961,511624
336,185.192,336,eatout,961,511624
337,269.57800000000003,337,eatout,961,511624
338,8.482,338,eatout,961,511624
339,79.56800000000001,339,eatout,961,511624
340,344.804,340,eatout,961,511624
341,1175.74,341,eatout,961,511624
342,157.382,342,eatout,961,511624
343,26.060000000000002,343,eatout,961,511624
344,88.85,344,eatout,961,511624
345,73.152,345,eatout,961,511624
346,227.534,346,eatout,961,511624
347,333.438,347,eatout,961,511624
348,4.128,348,eatout,961,511624
