out_period,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,AM,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,MD,PM,PM,PM,PM,PM,PM,PM,PM,PM,PM,EV,EV,EV
in_period,EA,EA,AM,AM,AM,AM,AM,MD,MD,MD,MD,MD,PM,PM,PM,PM,EV,EV,EV,AM,MD,PM,EV,AM,AM,AM,AM,AM,MD,MD,MD,MD,MD,PM,PM,PM,PM,EV,EV,EV,MD,PM,EV,MD,PM,EV,MD,PM,EV,MD,PM,EV,MD,MD,MD,MD,MD,PM,PM,PM,PM,EV,EV,EV,PM,EV,PM,EV,PM,EV,PM,EV,PM,PM,PM,PM,EV,EV,EV,EV,EV,EV,EV,EV,EV
work_tour_is_SOV,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_mandatory,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_joint (2),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_indiv,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
is_atwork_subtour,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
is_escort,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ivot,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874,0.029985007496251874
dest_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
terminal_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dest_density_index,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185,0.41359314299296185
