dest_taz,utility
258,-6.704816555006885
259,-4.9984235305659
260,-4.21047512300186
261,-7.147873890493841
262,-5.836580578400316
263,-8.383171886389807
264,-5.2000807663131425
265,-3.426429545697313
266,-2.2834423144625244
267,-8.474203590677103
268,-7.240200231324612
269,-8.029949742981689
270,-5.491999738726336
271,-7.00612960269068
272,-9.37168399850923
273,-9.43145531690455
274,-4.5168195001060365
275,-5.162759476540701
276,-6.524262636186556
277,-6.545474426031174
278,-3.8462167190599645
279,-3.9190517210080014
280,-4.147538872106409
281,-4.761999900212829
282,-5.597179119371601
283,-7.340639193255235
284,-2.202799779544291
285,-8.048342338626764
286,-4.372780882823319
287,-5.205537146764665
288,-7.700780507441786
289,-5.882957269356292
290,-9.490597421695389
291,-5.574078532464171
292,-7.354587776463788
293,-9.17093229759885
294,-7.762349060812255
295,-6.1713898991296965
296,-6.730684349618561
297,-8.759600134724257
298,-6.223899363032879
299,-6.039930517295508
300,-7.421636494077613
301,-6.030038259781311
302,-8.738420302553818
303,-6.648287236695571
304,-9.243254370676311
305,-9.684040728845721
306,-9.40264783205443
307,-9.132791347290164
308,-8.60980128266214
309,-3.646815696292526
310,-2.6666587873801095
311,-4.990679233809714
312,-6.281939358340936
313,-3.2480203075723404
314,-3.5446766588366767
315,-2.5708410657835845
316,-4.140671564441379
317,-6.168374748249022
318,-7.241259852165056
319,-9.453660447620019
320,-6.052642563902959
321,-7.419832828764111
322,-5.99554181469428
323,-3.6535839726657144
324,-4.077895610366529
325,-4.841080014501067
326,-4.189749482987791
327,-4.474432622747132
328,-5.994721441695599
329,-4.805632670711473
330,-6.362408447318579
331,-4.825661911727602
332,-3.305177502505937
333,-2.9581061608031236
334,-5.809108850621091
335,-3.2738096720827237
336,-4.058422419430632
337,-8.94749854734177
338,-8.803875365328711
339,-6.261356380810758
340,-5.176461344592361
341,-2.631298259312514
342,-7.878444760783635
343,-7.627203108954538
344,-9.243739477412735
345,-6.4763814977168
346,-5.207014185314886
347,-7.423666574642889
348,-1009.3086722900391
349,-7.813795916307527
350,-9.117856249609257
351,-3.180604921741452
352,-9.626835142158402
353,-5.179664293920595
354,-4.55778755154548
355,-2.163778175549507
356,-2.242672850272311
357,-6.928791920021175
358,-5.945054344787057
359,-8.780293215905749
360,-6.548537488843027
361,-4.45249407257982
362,-4.617691188046874
363,-8.816781154892784
364,-5.103258483980221
365,-4.089352310658534
366,-4.070219122651045
367,-4.953581742656964
368,-5.26241608502745
369,-6.678925472433999
370,-3.9193236296056053
371,-6.076439711823621
372,-2.576265978096317
373,-4.85337819210076
374,-3.2855318716943644
375,-6.89321870006501
376,-4.542098172061395
377,-5.089810924197607
378,-4.651617176281862
379,-6.647546377723806
380,-5.751297726934835
381,-4.104737815848346
382,-6.823798462508189
383,-5.047140686171314
384,-6.90046482475113
385,-8.671803005380339
386,-9.814092089092382
387,-6.046236122504574
388,-5.656607729288861
389,-4.238537553911869
390,-6.755891762367465
391,-4.094891194394311
392,-5.77424861878914
393,-5.588074790479009
394,-6.114791926904274
395,-7.057270603299415
396,-8.04927066347748
397,-3.8639371599983825
398,-4.483650207823185
399,-5.7491454335158725
400,-7.720147672388252
401,-3.432253253243224
402,-9.100152254968009
403,-5.880136790411221
404,-6.404885108746568
405,-1.4248484880443995
406,-2.978602598652569
407,-1.8615206147468806
408,-2.400103838319229
409,-4.159228433756992
410,-6.268570730488602
411,-7.271543469098939
412,-3.772120140771837
413,-4.281182805771744
414,-3.147642474501491
415,-3.997861653395537
416,-4.910580898169502
