TAZ,size_term,shadow_price_size_term_adjustment,shadow_price_utility_adjustment,TAZ,TAZ_chooser,school_segment,household_id
239,0.0,1,0,239,755,1,456291
240,814.0,1,0,240,755,1,456291
241,632.0,1,0,241,755,1,456291
242,435.0,1,0,242,755,1,456291
243,499.0,1,0,243,755,1,456291
244,1014.0,1,0,244,755,1,456291
245,575.0,1,0,245,755,1,456291
246,1463.0,1,0,246,755,1,456291
247,1073.0,1,0,247,755,1,456291
248,481.0,1,0,248,755,1,456291
249,995.0,1,0,249,755,1,456291
250,1008.0,1,0,250,755,1,456291
251,475.0,1,0,251,755,1,456291
252,1375.0,1,0,252,755,1,456291
253,592.0,1,0,253,755,1,456291
254,1484.0,1,0,254,755,1,456291
255,884.0,1,0,255,755,1,456291
256,620.0,1,0,256,755,1,456291
257,401.0,1,0,257,755,1,456291
258,762.0,1,0,258,755,1,456291
259,634.0,1,0,259,755,1,456291
260,1594.0,1,0,260,755,1,456291
261,658.0,1,0,261,755,1,456291
262,690.0,1,0,262,755,1,456291
263,538.0,1,0,263,755,1,456291
264,552.0,1,0,264,755,1,456291
265,301.0,1,0,265,755,1,456291
266,838.0,1,0,266,755,1,456291
267,555.0,1,0,267,755,1,456291
268,707.0,1,0,268,755,1,456291
269,740.0,1,0,269,755,1,456291
270,428.0,1,0,270,755,1,456291
271,532.0,1,0,271,755,1,456291
272,484.0,1,0,272,755,1,456291
273,560.0,1,0,273,755,1,456291
274,732.0,1,0,274,755,1,456291
275,751.0,1,0,275,755,1,456291
276,394.0,1,0,276,755,1,456291
277,953.0,1,0,277,755,1,456291
278,737.0,1,0,278,755,1,456291
279,563.0,1,0,279,755,1,456291
280,636.0,1,0,280,755,1,456291
281,634.0,1,0,281,755,1,456291
282,384.0,1,0,282,755,1,456291
283,647.0,1,0,283,755,1,456291
284,541.0,1,0,284,755,1,456291
285,563.0,1,0,285,755,1,456291
286,1031.0,1,0,286,755,1,456291
287,433.0,1,0,287,755,1,456291
288,1002.0,1,0,288,755,1,456291
289,1192.0,1,0,289,755,1,456291
290,389.0,1,0,290,755,1,456291
291,447.0,1,0,291,755,1,456291
292,468.0,1,0,292,755,1,456291
293,1233.0,1,0,293,755,1,456291
294,1024.0,1,0,294,755,1,456291
295,703.0,1,0,295,755,1,456291
296,1321.0,1,0,296,755,1,456291
297,515.0,1,0,297,755,1,456291
298,1356.0,1,0,298,755,1,456291
299,705.0,1,0,299,755,1,456291
300,624.0,1,0,300,755,1,456291
301,1123.0,1,0,301,755,1,456291
302,886.0,1,0,302,755,1,456291
303,953.0,1,0,303,755,1,456291
304,863.0,1,0,304,755,1,456291
305,295.0,1,0,305,755,1,456291
306,535.0,1,0,306,755,1,456291
307,975.0,1,0,307,755,1,456291
308,1081.0,1,0,308,755,1,456291
309,1166.0,1,0,309,755,1,456291
310,433.0,1,0,310,755,1,456291
311,589.0,1,0,311,755,1,456291
312,1485.0,1,0,312,755,1,456291
313,352.0,1,0,313,755,1,456291
314,1170.0,1,0,314,755,1,456291
315,433.0,1,0,315,755,1,456291
316,496.0,1,0,316,755,1,456291
317,965.0,1,0,317,755,1,456291
318,615.0,1,0,318,755,1,456291
319,570.0,1,0,319,755,1,456291
320,931.0,1,0,320,755,1,456291
321,609.0,1,0,321,755,1,456291
322,903.0,1,0,322,755,1,456291
323,938.0,1,0,323,755,1,456291
324,842.0,1,0,324,755,1,456291
325,1559.0,1,0,325,755,1,456291
326,681.0,1,0,326,755,1,456291
327,1237.0,1,0,327,755,1,456291
328,701.0,1,0,328,755,1,456291
329,1239.0,1,0,329,755,1,456291
330,1495.0,1,0,330,755,1,456291
331,1331.0,1,0,331,755,1,456291
332,1149.0,1,0,332,755,1,456291
333,2544.0,1,0,333,755,1,456291
334,1946.0,1,0,334,755,1,456291
335,1522.0,1,0,335,755,1,456291
