TAZ,university,gradeschool,highschool
845,0,7,2
846,0,11,4
847,0,5,0
848,0,3,0
849,0,3,7
850,0,4,0
851,0,0,0
852,0,5,0
853,0,11,1
854,0,12,1
855,0,19,4
856,0,18,2
857,0,3,3
858,0,4,0
859,0,3,2
860,0,3,0
861,0,6,0
862,0,8,0
863,27,7,0
864,0,5,2
865,0,2,6
866,0,2,0
867,0,2,4
868,0,2,2
869,0,2,1
870,5,10,0
871,0,5,0
872,0,21,12
873,0,6,1
874,0,0,0
875,0,8,1
876,0,3,0
877,0,4,3
878,21,10,5
879,0,5,0
880,0,8,4
881,0,5,0
882,0,4,0
883,0,3,0
884,0,1,1
885,27,3,2
886,0,5,0
887,0,6,0
888,0,14,3
889,0,9,0
890,0,15,3
891,0,15,0
892,0,11,0
893,0,9,3
894,0,7,3
895,0,18,9
896,0,8,2
897,0,8,0
898,0,9,0
899,0,12,3
900,0,9,0
901,0,2,0
902,28,2,0
903,0,7,1
904,0,13,1
905,0,12,2
906,0,13,2
907,0,4,0
908,0,0,1
909,0,6,3
910,0,8,0
911,7,0,0
912,0,2,1
913,0,7,1
914,0,4,0
915,0,6,1
916,0,4,1
917,0,14,0
918,0,5,3
919,0,1,0
920,0,3,0
921,0,3,0
922,0,5,3
923,0,7,0
924,0,14,3
925,0,29,0
926,16,6,7
927,0,8,4
928,0,12,0
929,0,11,2
930,0,4,0
931,0,4,0
932,0,7,0
933,0,16,4
934,0,13,0
935,0,1,0
936,0,1,0
937,0,1,0
938,0,5,2
939,0,2,0
940,0,5,0
941,0,3,0
942,0,0,0
943,0,4,3
944,0,6,0
945,0,0,0
946,87,1,4
947,0,5,1
948,0,8,0
949,0,3,3
950,0,7,0
951,0,6,3
952,0,7,0
953,0,2,1
954,0,8,0
955,12,2,7
956,0,4,0
957,0,3,1
958,0,2,0
959,0,2,0
960,3,9,0
961,17,6,2
962,0,1,2
963,0,0,1
964,0,0,0
965,0,0,0
966,0,0,0
967,0,0,0
968,0,0,0
969,8,1,0
970,3,4,3
971,12,0,0
972,0,4,0
973,0,1,0
974,0,3,1
975,0,2,6
976,1,2,0
977,0,3,2
978,0,2,2
979,19,0,0
980,0,0,2
981,0,0,0
982,0,3,3
983,0,5,0
984,0,1,0
985,0,2,0
986,0,3,0
987,0,1,0
988,0,1,0
989,0,5,3
990,0,3,0
991,22,5,0
992,0,4,0
993,0,3,0
994,0,0,0
995,0,4,3
996,0,4,0
997,0,1,0
998,0,6,0
999,0,0,2
1000,0,2,0
1001,0,2,0
1002,0,3,0
1003,0,1,0
1004,0,1,2
1005,0,1,0
1006,0,2,1
1007,0,5,0
1008,0,1,0
1009,0,4,0
1010,0,1,2
1011,0,2,0
1012,0,4,1
1013,0,4,0
1014,0,1,1
1015,0,6,2
1016,0,2,0
1017,0,3,0
1018,60,6,16
1019,179,1,0
1020,1,3,0
1021,0,2,0
1022,0,5,0
1023,0,2,0
1024,0,1,0
1025,0,4,1
1026,0,7,1
1027,0,5,0
1028,0,2,0
1029,0,2,0
1030,0,0,0
1031,0,1,0
1032,0,3,2
1033,0,3,0
1034,0,4,1
1035,0,4,2
1036,0,4,0
1037,0,1,0
1038,0,9,2
1039,0,12,0
1040,0,0,0
1041,0,0,1
1042,0,2,3
1043,0,2,0
1044,0,2,1
1045,0,1,0
1046,0,1,0
1047,0,1,3
1048,0,1,2
1049,0,4,0
1050,0,10,2
1051,0,0,0
1052,0,1,2
1053,0,5,0
1054,0,5,0
1055,0,10,1
1056,0,11,0
1057,0,15,0
1058,0,17,2
1059,0,3,0
1060,0,13,3
1061,0,8,6
1062,0,2,1
1063,0,9,1
1064,0,17,1
1065,0,23,13
1066,0,12,0
1067,0,21,7
1068,0,15,0
1069,0,13,4
1070,0,6,1
1071,0,22,0
1072,121,19,2
1073,0,10,4
1074,0,11,2
1075,0,2,1
1076,0,4,2
1077,0,2,0
1078,0,4,5
1079,0,6,1
1080,0,4,0
1081,0,2,3
1082,0,4,0
1083,0,20,3
1084,0,2,0
1085,0,2,2
1086,0,6,0
1087,0,2,0
1088,0,2,0
1089,0,3,1
1090,0,0,2
1091,0,4,0
1092,0,0,0
1093,0,3,1
1094,0,10,1
1095,0,1,0
1096,0,9,3
1097,0,2,0
1098,0,13,2
1099,0,12,4
1100,0,6,0
1101,0,0,2
1102,0,3,0
1103,0,10,2
1104,0,7,0
1105,0,0,0
1106,0,8,3
1107,0,5,0
1108,0,10,2
1109,0,11,11
1110,0,9,1
1111,0,5,1
1112,0,5,8
1113,2,1,0
1114,0,25,1
1115,0,19,0
1116,8,1,2
1117,0,2,0
1118,0,8,1
1119,0,15,2
1120,0,23,1
1121,4,5,4
1122,5,9,1
1123,0,3,0
1124,0,8,0
1125,0,6,2
1126,0,2,3
1127,172,2,11
1128,0,7,1
1129,0,8,4
1130,0,4,0
1131,0,6,0
1132,0,8,6
1133,0,6,0
1134,0,3,1
1135,0,2,3
1136,0,1,0
1137,0,3,8
1138,0,10,4
1139,0,5,0
1140,0,3,5
1141,0,9,1
1142,0,4,1
1143,0,6,2
1144,0,6,0
1145,0,1,0
1146,0,1,2
1147,0,6,2
1148,0,0,0
1149,0,2,0
1150,0,10,1
1151,0,9,3
1152,0,7,2
1153,0,9,0
1154,5,5,1
1155,0,3,0
1156,0,4,0
1157,0,2,0
1158,0,6,4
1159,0,4,0
1160,13,9,5
1161,8,11,3
1162,0,1,0
1163,0,3,1
1164,0,14,1
1165,0,19,8
1166,0,20,6
1167,0,16,0
1168,0,9,3
1169,0,7,5
1170,0,9,1
1171,0,6,2
1172,0,12,2
1173,0,6,5
1174,0,6,2
1175,0,19,9
1176,0,68,26
1177,0,20,6
1178,0,76,21
1179,0,24,19
1180,0,24,12
1181,0,1,0
1182,0,16,3
1183,0,5,0
1184,0,9,1
1185,0,26,10
1186,0,25,11
1187,0,13,1
1188,0,9,0
1189,0,12,4
1190,0,7,0
1191,0,13,9
1192,0,7,2
1193,0,16,0
1194,0,3,7
1195,0,29,7
1196,0,11,1
1197,0,7,0
1198,176,3,0
1199,0,14,4
1200,0,14,3
1201,0,9,6
1202,0,6,0
1203,0,19,11
1204,0,1,5
1205,0,3,0
1206,0,19,0
1207,0,4,2
1208,0,7,1
1209,0,12,0
1210,0,11,2
1211,0,2,1
1212,0,3,0
1213,0,11,5
1214,0,1,0
1215,0,5,4
1216,0,8,0
1217,0,3,0
1218,0,2,0
1219,0,4,0
1220,0,8,1
1221,0,6,0
1222,36,1,1
1223,0,5,0
1224,0,0,1
1225,0,8,0
1226,0,7,4
1227,0,2,0
1228,0,2,3
1229,0,4,2
1230,0,12,2
1231,4,4,2
1232,0,9,0
1233,0,2,3
1234,0,3,0
1235,0,3,0
1236,0,3,0
1237,0,5,2
1238,44,0,2
1239,0,0,0
1240,0,11,1
1241,0,4,0
1242,0,3,7
1243,0,9,1
1244,0,13,10
1245,0,11,0
1246,0,21,4
1247,0,14,7
1248,0,5,1
1249,59,4,0
1250,0,11,3
1251,0,9,3
1252,0,2,0
1253,0,5,0
1254,0,11,1
1255,0,3,4
1256,0,5,0
1257,0,7,3
1258,0,5,0
1259,0,19,4
1260,0,13,0
1261,0,15,0
1262,4,4,0
1263,0,3,7
1264,0,13,0
1265,0,8,0
1266,0,10,0
1267,0,4,1
1268,3,8,3
1269,0,8,3
1270,0,10,5
1271,0,38,4
1272,0,0,0
1273,0,2,1
1274,0,8,1
1275,0,3,0
1276,0,5,0
1277,0,10,0
1278,0,3,1
1279,0,3,0
1280,53,5,3
1281,0,9,0
1282,0,22,3
1283,0,4,4
1284,0,4,0
1285,0,3,0
1286,0,2,0
1287,0,2,0
1288,0,11,6
1289,0,11,4
1290,0,8,1
1291,0,17,6
1292,0,28,5
1293,0,5,5
1294,49,0,0
1295,0,25,1
1296,0,5,0
1297,0,22,2
1298,0,1,0
1299,3,3,0
1300,0,4,0
1301,0,2,0
1302,0,11,0
1303,0,3,0
1304,0,10,1
1305,0,13,4
1306,0,17,5
1307,0,13,3
1308,0,5,0
1309,0,0,0
1310,0,0,1
1311,0,3,2
1312,0,0,0
1313,11,4,1
1314,0,6,5
1315,0,0,0
1316,0,0,0
1317,0,9,1
1318,0,1,1
1319,0,27,1
1320,0,4,0
1321,0,12,1
1322,0,2,0
1323,0,13,0
1324,0,0,0
1325,0,12,4
1326,0,4,1
1327,0,4,4
1328,0,0,0
1329,0,2,0
1330,0,3,1
1331,0,17,0
1332,0,6,2
1333,0,8,4
1334,0,6,7
1335,0,10,2
1336,0,14,3
1337,1,7,0
1338,0,7,0
1339,0,7,1
1340,0,12,2
1341,0,4,0
1342,94,10,3
1343,0,16,1
1344,0,1,1
1345,0,3,0
1346,0,2,0
1347,0,4,0
1348,0,16,3
1349,0,17,2
1350,0,8,1
1351,0,3,2
1352,0,4,0
1353,0,0,0
1354,0,8,2
1355,0,6,6
1356,0,11,0
1357,0,6,1
1358,0,5,8
1359,0,6,2
1360,0,11,2
1361,0,3,2
1362,0,2,1
1363,141,3,3
1364,0,6,0
1365,0,8,1
1366,0,8,1
1367,3,5,0
1368,0,2,1
1369,0,13,1
1370,0,13,3
1371,0,12,3
1372,0,18,3
1373,8,14,1
1374,0,16,1
1375,0,10,1
1376,0,17,3
1377,0,12,3
1378,0,21,9
1379,0,11,0
1380,0,11,2
1381,0,22,3
1382,0,9,2
1383,0,4,0
1384,0,4,1
1385,0,2,0
1386,0,1,1
1387,0,1,1
1388,0,0,0
1389,0,0,0
1390,0,2,1
1391,0,3,0
1392,0,4,0
1393,0,1,1
1394,0,14,6
1395,0,18,4
1396,0,30,2
1397,0,7,0
1398,0,7,1
1399,0,5,1
1400,0,3,1
1401,0,1,0
1402,0,7,3
1403,0,3,1
1404,0,1,0
1405,0,5,0
1406,0,2,0
1407,0,3,1
1408,0,6,0
1409,0,5,3
1410,0,7,1
1411,0,14,1
1412,0,18,1
1413,0,2,5
1414,0,12,4
1415,0,0,0
1416,0,0,0
1417,0,0,0
1418,0,4,0
1419,0,5,2
1420,0,12,0
1421,0,8,4
1422,0,4,3
1423,0,6,3
1424,0,1,0
1425,0,2,1
1426,0,3,1
1427,41,9,5
1428,0,13,0
1429,0,6,3
1430,0,3,2
1431,0,11,0
1432,7,4,1
1433,0,7,4
1434,0,7,0
1435,0,4,1
1436,68,13,3
1437,0,5,0
1438,0,9,2
1439,0,0,0
1440,0,4,6
1441,0,8,0
1442,0,10,3
1443,0,5,7
1444,0,4,2
1445,0,14,3
1446,0,3,3
1447,0,4,0
1448,0,1,0
1449,0,3,1
1450,0,5,1
1451,0,4,0
1452,0,5,0
1453,0,0,0
1454,0,0,0
