participant_id,tour_id,household_id,person_id,participant_num
25381330502,253813305,2362287,6190565,1
25381330501,253813305,2362287,6190568,2
23238707201,232387072,2164686,5667977,1
23238707202,232387072,2164686,5667980,2
23238707203,232387072,2164686,5667983,3
6322582802,63225828,588387,1542091,1
6322582801,63225828,588387,1542093,2
6322582803,63225828,588387,1542095,3
7960570302,79605703,743745,1941606,1
7960570303,79605703,743745,1941610,2
12297312501,122973125,1161217,2999344,1
12297312503,122973125,1161217,2999346,2
12297312502,122973125,1161217,2999350,3
17099773102,170997731,1645300,4170674,1
17099773101,170997731,1645300,4170676,2
23899844901,238998449,2225553,5829230,1
23899844902,238998449,2225553,5829252,2
3005740201,30057402,292535,733107,1
3005740203,30057402,292535,733108,2
3005740202,30057402,292535,733109,3
558314901,5583149,54220,136174,1
558314902,5583149,54220,136175,2
558314903,5583149,54220,136176,3
4080993902,40809939,393500,995367,1
4080993904,40809939,393500,995370,2
4080993905,40809939,393500,995373,3
24516472803,245164728,2287831,5979631,1
24516472804,245164728,2287831,5979633,2
13065373303,130653733,1230031,3186674,1
13065373302,130653733,1230031,3186675,2
5221401102,52214011,487597,1273507,1
5221401101,52214011,487597,1273512,2
20796444001,207964440,1953849,5072303,1
20796444003,207964440,1953849,5072306,2
10762120201,107621202,998603,2624907,1
10762120202,107621202,998603,2624908,2
4155540701,41555407,399397,1013546,1
4155540707,41555407,399397,1013550,2
4155540706,41555407,399397,1013558,3
4155540702,41555407,399397,1013562,4
4155540704,41555407,399397,1013574,5
6034676502,60346765,562147,1471871,1
6034676501,60346765,562147,1471872,2
14564345601,145643456,1414923,3552279,1
14564345602,145643456,1414923,3552282,2
12297853503,122978535,1161246,2999472,1
12297853505,122978535,1161246,2999480,2
6507562302,65075623,607115,1587209,1
6507562301,65075623,607115,1587210,2
