label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29
free_parking_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
dest_hourly_peak_parking_cost,10.180146020247184,11.933960316507607,0.0,4.361598127112439,0.4979386390390799,0.08071122969776985,6.4512719889890295,4.852925331984008,4.772908935512062,2.2102464794070875,7.804005984465263,15.536687755473777,5.566666416621037,5.294021542485053,8.56461455190841,0.8585188961570424,0.6424736559454339,0.2518530944505123,0.0,57.379847152986024,248.25111144173528,1.53464325446312,2.1234291161602696,2.3206666076282696,45.73893530253794,7.798791618699689,24.968359077560468,0.0,8.057939893606601
origin_hourly_peak_parking_cost,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528,248.25111144173528
origin_duration,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
dest_duration,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
origin_parking_cost,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147,1737.757780092147
dest_parking_cost,10.180146020247184,11.933960316507607,0.0,4.361598127112439,0.4979386390390799,0.08071122969776985,6.4512719889890295,4.852925331984008,4.772908935512062,2.2102464794070875,7.804005984465263,15.536687755473777,5.566666416621037,5.294021542485053,8.56461455190841,0.8585188961570424,0.6424736559454339,0.2518530944505123,0.0,57.379847152986024,248.25111144173528,1.53464325446312,2.1234291161602696,2.3206666076282696,45.73893530253794,7.798791618699689,24.968359077560468,0.0,8.057939893606601
total_parking_cost,873.968963056197,874.8458702043273,868.8788900460735,871.0596891096297,869.127859365593,868.9192456609223,872.104526040568,871.3053527120654,871.2653445138295,869.984013285777,872.7808930383061,876.6472339238104,871.662223254384,871.525900817316,873.1611973220276,869.308149494152,869.2001268740462,869.0048165932988,868.8788900460735,897.5688136225665,993.0044457669411,869.6462116733051,869.9406046041536,870.0392233498876,891.7483576973425,872.7782858554233,881.3630695848537,868.8788900460735,872.9078599928768
trip_topology,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
density_index,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775,28.35188442665775
origin_density_index,2.5217602869424103,2.561867889062461,0.009677916029215371,0.7691332751241282,0.16685570123149362,0.012737403034011358,1.5706517875720516,2.2501699923599503,1.4905612580306775,0.6861062229749499,0.9150624410831907,3.9396779360394243,2.0097574516838925,1.1282185653039216,1.648323089328983,0.2671846838514583,0.13526227366767543,0.2558743505380531,0.010289415842116671,9.705946888097559,28.35188442665775,0.36284328892213724,0.8110373497323483,0.850565732303428,4.654116750173885,3.011524912186754,2.4552210694005043,2.41265245837366,2.252813995867158
walk_transit_available,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
drive_transit_available,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
origin_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
destination_walk_time,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66,6.66
origin_density_measure,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168,96364.83696813168
origin_density,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
origin_zone_taxi_wait_time_mean,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
origin_zone_taxi_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origTaxiWaitTime,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
origin_zone_singleTNC_wait_time_mean,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
origin_zone_singleTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origSingleTNCWaitTime,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004
origin_zone_sharedTNC_wait_time_mean,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
origin_zone_sharedTNC_wait_time_sd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
