alternative,probability_1,probability_2,probability_3
192,1.1609145900245333e-07,6.5985072301581925e-06,8.787000390506936e-06
193,1.0202439621294905e-07,1.504809297204378e-06,2.8499002985424492e-05
194,5.490423922652181e-08,1.4336135282006943e-10,0.0
195,2.334058515431739e-07,1.7477783987959528e-06,7.651452268230616e-05
196,7.622025014392777e-08,9.076146696232756e-07,1.3104084294294479e-05
197,1.7414979284229967e-07,4.039697227005021e-09,1.4635595721081439e-08
198,4.996325983690647e-07,1.8539842924260834e-08,6.369677968506627e-07
199,4.043764333757781e-07,6.296031410967353e-09,2.7358789338120663e-07
200,1.2282912320974655e-07,2.1686300688626447e-09,2.408456031623912e-07
201,1.1511562139184083e-07,6.369974124642703e-07,1.7641442935657804e-08
202,4.6602729138902716e-08,2.9173612969521468e-06,3.900344413481811e-06
203,1.2533463688777298e-06,2.7049111853176403e-06,1.770233955692034e-05
204,4.3798181292103686e-07,4.805457691641179e-06,3.6654209299263256e-05
205,4.5369733874626944e-08,1.9667552561696813e-06,1.3314237215692418e-05
206,5.517917221200678e-08,5.383891353273704e-09,5.154212834707002e-09
207,5.420555389409161e-07,1.013863811818401e-08,7.884841878192789e-07
208,1.0636537007448338e-06,2.987934430165206e-08,1.9420633049642536e-07
209,1.3620246532779808e-06,2.9787904312659545e-08,1.3277343903092918e-06
210,4.010850880897953e-06,3.3144227815778674e-06,6.996981494631582e-06
211,3.254007906209615e-06,6.440958767153561e-08,5.345601106237703e-06
212,4.6649853056975154e-07,1.816805903894153e-08,2.791199861206829e-07
213,1.4792232771707892e-07,1.1206960491569719e-08,2.1334070446335642e-07
214,1.3406683094368547e-07,5.578517086585749e-09,3.8979130727782814e-08
215,1.6715392696212324e-07,1.2037381279261867e-08,2.2060290453926816e-08
216,1.1120233940458041e-07,1.1919189776450993e-08,1.930788204076748e-08
217,7.891710592759081e-07,4.968724277542244e-09,5.912922126771545e-09
218,7.990840813835304e-07,2.5898232583572326e-09,2.052873273036069e-09
219,1.5188589079236683e-07,3.4392745647834435e-09,1.516227589023342e-07
220,4.202029248889321e-06,1.4341579442456614e-08,8.876761953986281e-08
221,3.3643140510986924e-07,4.5971465698283565e-09,2.2739065711982396e-07
222,5.304655215893452e-08,4.041564943592572e-09,3.284397148259086e-08
223,4.5746645480112957e-07,4.197148788741597e-09,1.0389841217143598e-07
224,3.3713434821004495e-07,9.700032577002344e-09,1.444084161723991e-08
225,7.851130529738911e-08,4.035990013568808e-06,1.2080122399572067e-07
226,7.710788939669067e-08,3.281286487636017e-09,5.100366861028465e-08
227,1.1610123286991586e-07,1.7260623438044994e-09,5.723853893752321e-08
228,1.038770192232681e-07,3.8078309005682325e-09,4.063662086641484e-09
229,1.7148743610479142e-07,9.470795616174023e-09,1.5277648935624828e-07
230,3.016772489323375e-07,4.195269546689528e-09,8.602687776684821e-08
231,2.887660185354438e-07,4.995543276397932e-09,2.0286149015193887e-07
232,1.3646876193821187e-07,5.872950585292196e-09,1.259820935361932e-07
233,2.3363330715005653e-07,6.352515909467465e-09,6.044350719098845e-08
234,1.9221587841830014e-07,1.0555123034034601e-08,5.2332199173413746e-08
235,1.0992584647719852e-07,1.0868372755919623e-08,7.257064709481011e-09
236,2.1040185588514857e-08,1.7161021130980838e-08,8.266216042537201e-09
237,1.1607669169198507e-06,4.318375712206734e-08,2.4824098239423245e-07
